SMESG000003711.1	SMESG000003711.1	Gene Expression
SMESG000003710.1	SMESG000003710.1	Gene Expression
SMESG000003707.1	SMESG000003707.1	Gene Expression
SMESG000003706.1	SMESG000003706.1	Gene Expression
SMESG000003705.1	SMESG000003705.1	Gene Expression
SMESG000003704.1	SMESG000003704.1	Gene Expression
SMESG000003701.1	SMESG000003701.1	Gene Expression
SMESG000003698.1	SMESG000003698.1	Gene Expression
SMESG000003695.1	SMESG000003695.1	Gene Expression
SMESG000003694.1	SMESG000003694.1	Gene Expression
SMESG000003693.1	SMESG000003693.1	Gene Expression
SMESG000003690.1	SMESG000003690.1	Gene Expression
SMESG000003594.1	SMESG000003594.1	Gene Expression
SMESG000003539.1	SMESG000003539.1	Gene Expression
SMESG000003528.1	SMESG000003528.1	Gene Expression
SMESG000003495.1	SMESG000003495.1	Gene Expression
SMESG000003747.1	SMESG000003747.1	Gene Expression
SMESG000003670.1	SMESG000003670.1	Gene Expression
SMESG000054198.1	SMESG000054198.1	Gene Expression
SMESG000054196.1	SMESG000054196.1	Gene Expression
SMESG000054195.1	SMESG000054195.1	Gene Expression
SMESG000054191.1	SMESG000054191.1	Gene Expression
SMESG000002139.1	SMESG000002139.1	Gene Expression
SMESG000002138.1	SMESG000002138.1	Gene Expression
SMESG000002137.1	SMESG000002137.1	Gene Expression
SMESG000002129.1	SMESG000002129.1	Gene Expression
SMESG000002128.1	SMESG000002128.1	Gene Expression
SMESG000002127.1	SMESG000002127.1	Gene Expression
SMESG000002124.1	SMESG000002124.1	Gene Expression
SMESG000002107.1	SMESG000002107.1	Gene Expression
SMESG000002106.1	SMESG000002106.1	Gene Expression
SMESG000002091.1	SMESG000002091.1	Gene Expression
SMESG000002090.1	SMESG000002090.1	Gene Expression
